Title,Text,[M] elective: ,[M] institution: ,[M] title: ,"[C] Altin, Rukiye (rukiye)","[C] Bradley, Steven","[C] McNeill, Fiona","[C] Minguillón, Julià (Julià Minguillón)","[C] Parker, Miranda","[C] Peltsverger, Svetlana"
Ethical Hacking for Effective Defense,"<h2>title</h2>Ethical Hacking for Effective Defense<h2>summary</h2>This course focuses on detection of network and system vulnerabilities by taking an attacker-like approach to system, network, and data access. Topics include network attacks and defenses, Operating System and application vulnerabilities, social engineering attacks, and malware. Ethical, legal implications of network attacks are also discussed. <h2>ilo</h2>1. Explain what an ethical hacker can and cannot do legally2. Describe security threats and vulnerabilities3. Use hacking tools to locate and fix security leaks4. Identify operating systems vulnerabilities5. Explain cryptosystems and describe attacks on cryptosystems6. Analyze network security vulnerabilities and technical controls ",IT4843,Kennesaw_USA,Ethical Hacking for Effective Defense,SEC; NC,SEC; SEP,SEC; SEP; 16,SEC; SEP,SEC; SEP,SEP; SEC
Web and Mobile Application Security,"<h2>title</h2>Web and Mobile Application Security<h2>summary</h2>This course introduces web and mobile application security issues, hands-on practices to explore security vulnerabilities, and best practices to defend against vulnerabilities in web and mobile. <h2>ilo</h2>1. Describe common web and mobile security vulnerabilities 2. Exploit web and mobile vulnerabilities with hands-on tools3. Defend against common web and mobile vulnerabilities ",IT4863,Kennesaw_USA,Web and Mobile Application Security,SE; GIT,SEC; SPD,SEC; NC,SEC; NC,SPD; SEC,SEC; SPD
Embedded Systems Analysis and Design,"<h2>title</h2>Embedded Systems Analysis and Design<h2>summary</h2>The analysis and design course focuses on using modern methods, techniques, and tools for specification and design of embedded systems. Topics include analytical methods such as RMA, development methods such as HOOD, and notations like UML, Petri-nets, etc. are covered. Performance evaluation based on modeling and simulation techniques is also covered. This is a project based course. <h2>ilo</h2>1. Understand the importance of embedded systems, the challenges involved, and systematic approaches to building such systems.2. Explain and implement fundamental principles and methodologies of embedded software development effectively utilizing current OOAD methodologies.3. Appreciate engineering issues in the development of embedded software, such as user concerns, maintainability, dependability and safety, and division of labor.4. Analyze a software development problem, express it succinctly and precisely, design module structures to solve a problem, and evaluate alternatives.5. Implement a module so that it executes efficiently and correctly.6. Work in a small team on an embedded systems project of significant scale and scope.7. Apply knowledge about software requirements, design, construction, project management, and quality to an embedded systems project.8. Effectively use embedded operating systems, CASE tools, languages, etc.9. Understand the scope, roles, uses, and development trends of the most widely used embedded software engineering standards. ",SWE3683,Kennesaw_USA,Embedded Systems Analysis and Design,SDF,SE; SPD,SE; SPD,SE; SPD,OS,AR; SE
Object-Oriented Development,"<h2>title</h2>Object-Oriented Development<h2>summary</h2>This course involves engineering activities related to the analysis, design, and implementation of object-oriented software systems. Topics include modeling foundations, requirements specification and documentation, design concepts and strategies, and OOAD methodologies with an emphasis on UML. The course includes a major project utilizing current analysis and design methods and tools implemented in a contemporary IDE. <h2>ilo</h2>1. Understand and be able to apply the principles of object-oriented software engineering to software analysis design and development2. Utilize current OO design and analysis methodologies such as UML responsibility-driven design and data-driven design effectively3. Use current software tools to effectively model specify design and develop object-oriented software systems using common OO design patterns ",SWE4743,Kennesaw_USA,Object-Oriented Development,SDF,SE,FPL; SE,FPL; SE,AL,SE
Programming on the Web,"<h2>title</h2>Programming on the Web<h2>content</h2>An introduction to software development on the web. Concepts underlying the development of programs that operate on the web; survey of technological alternatives; greater depth on some technologies. Operational concepts of the internet and the web, static client content, dynamic client content, dynamically served content, n-tiered architectures, web development processes, and security on the web. Assignments involve increasingly more complex web-based programs. ",CSC309H5,UofT_Canada,Programming on the Web,FPL,SPD,FPL; SE,SPD; SE,SPD,SPD
Introduction to Machine Learning,"<h2>title</h2>Introduction to Machine Learning<h2>content</h2>An introduction to methods for automated learning of relationships on the basis of empirical data. Classification and regression using nearest neighbour methods, decision trees, linear models, and neural networks. Clustering algorithms. Problems of overfitting and of assessing accuracy. Basics of reinforcement learning. ",CSC311H5,UofT_Canada,Introduction to Machine Learning,AI,AI,AI; MSF,AI,AI,AI
Introduction to Information Security,"<h2>title</h2>Introduction to Information Security<h2>content</h2>An investigation of many aspects of modern information security. Major topics cover: Techniques to identify and avoid common software development flaws which leave software vulnerable to crackers. Utilizing modern operating systems security features to deploy software in a protected environment. Common threats to networks and networked computers and tools to deal with them. Cryptography and the role it plays in software development, systems security and network security. ",CSC347H5,UofT_Canada,Introduction to Information Security,SEC,SEC,SEC,SEC,SEC,SEC
Parallel Programming,"<h2>title</h2>Parallel Programming<h2>content</h2>Introduction to aspects of parallel programming. Topics include computer instruction execution, instruction-level parallelism, memory system performance, task and data parallelism, parallel models (shared memory, message passing), synchronization, scalability and Amdahl's law, Flynn taxonomy, vector processing and parallel computing architectures. ",CSC367H5,UofT_Canada,Parallel Programming,PDC,PDC,PDC,FPL; AR,PDC,PDC
Neural Networks and Deep Learning,<h2>title</h2>Neural Networks and Deep Learning<h2>content</h2>An introduction to neural networks and deep learning. Backpropagation and automatic differentiation. Architectures: convolutional networks and recurrent neural networks. Methods for improving optimization and generalization. Neural networks for unsupervised and reinforcement learning. ,CSC413H5,UofT_Canada,Neural Networks and Deep Learning,NC,AI,MSF; AI,AI,AI,AI
Compilers and Interpreters,"<h2>title</h2>Compilers and Interpreters<h2>content</h2>Compiler organization, compiler writing tools, use of regular expressions, finite automata and content-free grammars, scanning and parsing, runtime organization, semantic analysis, implementing the runtime model, storage allocation, code generation. ",CSC488H5,UofT_Canada,Compilers and Interpreters,FPL,FPL,SE; FPL,FPL,FPL,AR; SDF
